# tick,type,x,y
53,Coral,756,140
54,Coral,756,84
56,Coral,756,196
65,Jellyfish,756,408
85,PowerUp-Multi,746,162
113,Jellyfish,756,537
207,Coral,756,551
235,Coral,756,544
240,SnakeTop,420,0
313,Octopus,756,351
348,Coral,756,608
369,PowerUp-Mega,746,294
403,Jellyfish,756,536
606,Turtle,756,182
642,Swordfish,756,514
667,Jellyfish,756,97
706,SnakeBottom,540,700
707,Jellyfish,756,95
736,PowerUp-Split,746,358
740,Jellyfish,756,97
772,Jellyfish,756,103
943,SnakeTop,420,0
961,Octopus,756,388
1004,PowerUp-Speed,746,86
1045,Swordfish,756,301
1051,PowerUp-Heal,746,87
1103,PowerUp-Multi,746,539
1134,SnakeBottom,540,700
1181,Swordfish,756,517
1288,Octopus,756,255
1383,PowerUp-Mega,746,189
1469,SnakeTop,420,0
1481,Turtle,756,506
1522,Jellyfish,756,154
1630,Turtle,756,107
1743,Swordfish,756,461
1763,Octopus,756,158
1834,PowerUp-Multi,746,485
1867,SnakeTop,420,0
1907,Jellyfish,756,459
2136,Turtle,756,395
2196,Swordfish,756,199
2251,Coral,756,352
2252,Coral,756,422
2252,Coral,756,286
2276,Coral,756,425
2280,Coral,756,358
2282,Coral,756,292
2303,Coral,756,430
2304,Coral,756,360
2309,Coral,756,294
2327,Coral,756,357
2332,Coral,756,425
2334,Coral,756,298
2353,Coral,756,360
2360,Coral,756,428
2363,Coral,756,294
2379,Coral,756,352
2385,Coral,756,425
2387,Coral,756,288
2451,Octopus,756,348
2454,Swordfish,756,387
2455,Swordfish,756,261
2489,Swordfish,756,326
2646,Jellyfish,756,349
2678,PowerUp-Split,746,586
2717,PowerUp-Heal,746,590
2740,Jellyfish,756,354
2873,Turtle,756,469
2981,SnakeBottom,540,700
2992,SnakeTop,420,0
2993,Octopus,756,271
3038,PowerUp-Speed,746,228
3078,Jellyfish,756,426
3147,Turtle,756,306
3289,Swordfish,756,466
3354,Jellyfish,756,291
3424,Jellyfish,756,475
3438,Turtle,756,117
3455,Coral,756,599
3479,PowerUp-Split,746,362
3531,Octopus,756,412
3536,Octopus,756,206
3628,Swordfish,756,472
3658,Coral,756,238
3715,Jellyfish,756,530
3735,PowerUp-Heal,746,188
3864,Octopus,756,165
3879,Swordfish,756,69
3889,Coral,756,593
4006,PowerUp-Mega,746,393
4043,SnakeTop,420,0
4132,SnakeBottom,540,700
4216,Jellyfish,756,209
4220,Jellyfish,756,420
4310,Swordfish,756,411
4339,Turtle,756,105
4348,Swordfish,756,359
4393,Swordfish,756,303
4438,Swordfish,756,234
4483,Swordfish,756,155
4484,PowerUp-Multi,746,309
4486,PowerUp-Heal,746,521
4587,Octopus,756,257
4588,Octopus,756,399
4695,Coral,756,557
4726,Coral,756,556
4736,Jellyfish,756,412
4737,Jellyfish,756,181
4738,Jellyfish,756,287
4762,Coral,756,554
4831,Turtle,756,278
4871,Turtle,756,358
4872,Turtle,756,207
4917,SnakeTop,420,0
4930,PowerUp-Multi,746,366
4932,SnakeBottom,540,700
4972,Swordfish,756,330
5019,Swordfish,756,160
5083,PowerUp-Split,746,220
5093,Swordfish,756,433
5143,PowerUp-Multi,746,565
5170,Coral,756,253
5204,Coral,756,248
5208,Octopus,756,141
5235,Coral,756,247
5271,Coral,756,252
5314,Coral,756,609
5314,Coral,756,551
5327,Coral,756,493
5338,Coral,756,604
5342,Coral,756,546
5354,Coral,756,480
5356,Coral,756,424
5365,Coral,756,599
5370,Coral,756,538
5383,Coral,756,442
5390,Coral,756,393
5391,Coral,756,488
5396,Coral,756,606
5400,PowerUp-Multi,746,567
5414,Coral,756,428
5415,Coral,756,380
5419,Coral,756,493
5426,PowerUp-Heal,746,570
5435,Coral,756,610
5439,Coral,756,446
5440,Coral,756,389
5444,Coral,756,500
5462,Coral,756,611
5463,Coral,756,555
5464,Coral,756,439
5469,Coral,756,496
5489,Coral,756,602
5492,Coral,756,544
5492,Coral,756,485
5513,Coral,756,601
5592,SnakeTop,420,0
5602,Jellyfish,756,380
5605,Jellyfish,756,490
5626,PowerUp-Split,746,228
5652,Jellyfish,756,436
5672,Swordfish,756,158
5773,Jellyfish,756,314
5834,PowerUp-Speed,746,80
5932,SnakeBottom,540,700
6023,PowerUp-Multi,746,482
6363,PowerUp-Heal,746,584
6441,PowerUp-Split,746,580
6467,SnakeTop,420,0
6540,Coral,756,154
6542,Coral,756,77
6565,Coral,756,80
6566,Coral,756,150
6593,Coral,756,86
6595,Coral,756,152
6620,Coral,756,147
6621,Coral,756,90
6659,PowerUp-Heal,746,127
6703,PowerUp-Mega,746,120
